 registry_hive	 path	 reg_binary	 time_focused	 last_updated	 count	 focus_count	 reg_data_first_line
C:\Users\Warren\ntuser.dat	 Software\Microsoft\Windows\CurrentVersion\Explorer\UserAssist\{CEBFF5CD-ACE2-4F4F-9178-9926F41749EA}\Count	 UEME_CTLCUACount:ctor	 0:00:00.500000	 1970-01-01 00:00:00 UTC+0000	 0	 0	 0x00000000  ff ff ff ff 00 00 00 00 00 00 00 00 00 00 00 00   ................
C:\Users\Warren\ntuser.dat	 Software\Microsoft\Windows\CurrentVersion\Explorer\UserAssist\{CEBFF5CD-ACE2-4F4F-9178-9926F41749EA}\Count	 %windir%\system32\msiexec.exe	 0:00:00.500000	 2020-02-14 16:52:19 UTC+0000	 6	 0	 0x00000000  00 00 00 00 06 00 00 00 00 00 00 00 00 00 00 00   ................
C:\Users\Warren\ntuser.dat	 Software\Microsoft\Windows\CurrentVersion\Explorer\UserAssist\{CEBFF5CD-ACE2-4F4F-9178-9926F41749EA}\Count	 %ProgramFiles%\Ignition Casino Poker\IgnitionCasino.exe	 0:00:00.500000	 2020-04-20 00:50:18 UTC+0000	 3	 0	 0x00000000  00 00 00 00 03 00 00 00 00 00 00 00 00 00 00 00   ................
C:\Users\Warren\ntuser.dat	 Software\Microsoft\Windows\CurrentVersion\Explorer\UserAssist\{CEBFF5CD-ACE2-4F4F-9178-9926F41749EA}\Count	 %windir%\system32\rundll32.exe	 0:00:00.500000	 2020-03-19 23:50:07 UTC+0000	 1	 0	 0x00000000  00 00 00 00 01 00 00 00 00 00 00 00 00 00 00 00   ................
C:\Users\Warren\ntuser.dat	 Software\Microsoft\Windows\CurrentVersion\Explorer\UserAssist\{CEBFF5CD-ACE2-4F4F-9178-9926F41749EA}\Count	 C:\Users\Warren\AppData\Local\SquirrelTemp\Update.exe	 0:00:00.500000	 1970-01-01 00:00:00 UTC+0000	 0	 1	 0x00000000  00 00 00 00 00 00 00 00 01 00 00 00 00 00 00 00   ................
C:\Users\Warren\ntuser.dat	 Software\Microsoft\Windows\CurrentVersion\Explorer\UserAssist\{CEBFF5CD-ACE2-4F4F-9178-9926F41749EA}\Count	 %windir%\system32\UserAccountControlSettings.exe	 0:00:00.500000	 2020-04-20 01:03:38 UTC+0000	 1	 0	 0x00000000  00 00 00 00 01 00 00 00 00 00 00 00 00 00 00 00   ................
C:\Users\Warren\ntuser.dat	 Software\Microsoft\Windows\CurrentVersion\Explorer\UserAssist\{F4E57C4B-2036-45F0-A9AB-443BCFE33D9F}\Count	 UEME_CTLCUACount:ctor	 0:00:00.500000	 1970-01-01 00:00:00 UTC+0000	 0	 0	 0x00000000  ff ff ff ff 00 00 00 00 00 00 00 00 00 00 00 00   ................
C:\Users\Warren\ntuser.dat	 Software\Microsoft\Windows\CurrentVersion\Explorer\UserAssist\{F4E57C4B-2036-45F0-A9AB-443BCFE33D9F}\Count	 %ALLUSERSPROFILE%\Microsoft\Windows\Start Menu\Programs\Office Tab\Office Tab Center 2013.lnk	 0:00:00.501000	 2020-02-14 19:45:09 UTC+0000	 1	 0	 0x00000000  00 00 00 00 01 00 00 00 00 00 00 00 01 00 00 00   ................
C:\Users\Warren\ntuser.dat	 Software\Microsoft\Windows\CurrentVersion\Explorer\UserAssist\{F4E57C4B-2036-45F0-A9AB-443BCFE33D9F}\Count	 %ALLUSERSPROFILE%\Microsoft\Windows\Start Menu\Programs\Microsoft Office 2013\PowerPoint 2013.lnk	 0:00:00.501000	 2020-03-19 23:05:37 UTC+0000	 1	 0	 0x00000000  00 00 00 00 01 00 00 00 00 00 00 00 01 00 00 00   ................
C:\Users\Warren\ntuser.dat	 Software\Microsoft\Windows\CurrentVersion\Explorer\UserAssist\{F4E57C4B-2036-45F0-A9AB-443BCFE33D9F}\Count	 %ALLUSERSPROFILE%\Microsoft\Windows\Start Menu\Programs\Administrative Tools\Windows Firewall with Advanced Security.lnk	 0:00:00.501000	 2020-04-20 01:03:47 UTC+0000	 1	 0	 0x00000000  00 00 00 00 01 00 00 00 00 00 00 00 01 00 00 00   ................
