#########################################################################################################################################################################################################################################
# Investigation Details
# ======================
# Investigator Name: Solomon Sonya
# Investigation Description: MemLabs Lab 1
# Investigation Date: 2022-01-16-0854:41
#
# Analysis Framework
# ======================
# Analysis Framework Name: Xavier Framework
# Analysis Framework Version: 2.111
#
# Memory Analysis Binary
# ======================
# File Name: vol_2.6.exe	 File Size: 15.79 MBs	 Creation Date: 2022-01-08-0433:36	 Last Accessed: 2022-01-08-0433:36	 Last Modified: 2021-02-28-2153:29	 
# MD5: 2fc05486a3fe93cef213cc37748bf556	 SHA-256: 672a00461ffb8d59536c86192450b66d552e67809fc8584d1792b42b22c5f4e1	 
#
# Analysis Image Details
# ======================
# Memory Image Path: C:\xavier\xavier_framework\import\memory_image\MemoryDump_Lab1.raw
# File Name: MemoryDump_Lab1.raw	 File Size: 1.07 GBs	 Creation Date: 2022-01-16-0853:49	 Last Accessed: 2022-01-16-0853:50	 Last Modified: 2019-12-11-0838:17	 
# MD5: b9fec1a443907d870cb32b048bda9380	 SHA-256: 88e708413898c98351d1a5a221799fc34460dfecb20e482ca5247b0b113b8cf2	 
#
# Plugin Details
# ======================
# Plugin Name: timeliner
# Plugin Description: Creates a timeline from various artifacts in memory
#
# Execution Details
# ======================
# Execution Command: "C:\xavier\xavier_framework\import\memory_analysis\vol_2.6.exe" -f "C:\xavier\xavier_framework\import\memory_image\MemoryDump_Lab1.raw" timeliner --profile=Win7SP1x64
#########################################################################################################################################################################################################################################


Volatility Foundation Volatility Framework 2.6
2019-12-11 14:38:00 UTC+0000|[LIVE RESPONSE]| (System time)|
2019-12-11 13:41:35 UTC+0000|[PROCESS]| lsass.exe| PID: 492/PPID: 424/POffset: 0x3eea0580
2009-07-14 04:53:26 UTC+0000|[Handle (Key)]| MACHINE\SOFTWARE\MICROSOFT\WINDOWS NT\CURRENTVERSION\IMAGE FILE EXECUTION OPTIONS| lsass.exe PID: 492/PPID: 424/POffset: 0x3eea0580
2009-07-14 04:49:01 UTC+0000|[Handle (Key)]| MACHINE\SYSTEM\CONTROLSET001\CONTROL\NLS\SORTING\VERSIONS| lsass.exe PID: 492/PPID: 424/POffset: 0x3eea0580
2019-12-11 13:41:39 UTC+0000|[Handle (Key)]| MACHINE| lsass.exe PID: 492/PPID: 424/POffset: 0x3eea0580
2019-12-10 14:52:33 UTC+0000|[Handle (Key)]| MACHINE\SYSTEM\CONTROLSET001\CONTROL\SESSION MANAGER| lsass.exe PID: 492/PPID: 424/POffset: 0x3eea0580
2019-12-11 13:41:36 UTC+0000|[Handle (Key)]| MACHINE\SYSTEM\CONTROLSET001\CONTROL\LSA| lsass.exe PID: 492/PPID: 424/POffset: 0x3eea0580
2009-07-14 05:01:33 UTC+0000|[Handle (Key)]| MACHINE\SOFTWARE\MICROSOFT\WINDOWS\CURRENTVERSION\POLICIES\SYSTEM| lsass.exe PID: 492/PPID: 424/POffset: 0x3eea0580
2019-12-11 13:41:37 UTC+0000|[Handle (Key)]| MACHINE\SECURITY| lsass.exe PID: 492/PPID: 424/POffset: 0x3eea0580
2019-12-11 13:39:42 UTC+0000|[Handle (Key)]| MACHINE\SECURITY\RXACT| lsass.exe PID: 492/PPID: 424/POffset: 0x3eea0580
2010-11-21 02:43:10 UTC+0000|[Handle (Key)]| MACHINE\SECURITY\POLICY| lsass.exe PID: 492/PPID: 424/POffset: 0x3eea0580
